0,0,0,0,0,0,41.47,2000
0,0,0,0,0,8.1721,0,2.4121
0,1.206,0,0,0,7.2745,0,24.121
0,1.206,0.6609,0,0,0.6431,0,16.274
0.5135,0,0,0.1721,0,0,0,69.237
15.791,0,4.2403,1.9076,0.3262,0,0,1000
25.165,5.76,3.5794,0.4303,0.3594,6.1759,0,0
