 30 34  .1180000E+00
 30 36  .1300000E-01
 31 32  .6800000E-01
 31 34  .9970000E+00
 31 36  .1110000E+00
 32 34  .1880000E+00
 32 36  .2100000E-01
 33 34  .1820000E+00
 33 36  .2000000E-01
 34  1  .8734310E+04
 34  4  .1255700E+04
 34  5  .6163340E+04
 35  2  .1003470E+04
 35  7  .1847800E+03
 35  8  .9240000E+02
 35  9  .2832100E+02
 35 11  .2152000E+02
 35 12  .1335000E+02
 35 13  .2083000E+02
 35 22  .4170000E+01
 35 23  .3447000E+00
 35 36  .6009780E+04
 36  3  .2004661E+05
 -1 -1  .0000000E+00

