Carbon: CHESAPEAKE BAY MESOHALINE NETWORK; MgC/M2/annual mean; Baird&Ulano 1989
 36 33  
Phytoplankton
Bacteria in Suspended POC
Bacteria in Sediment POC
Benthic Diatoms
Free Bacteria
Heterotrophic Microflagelates
Ciliates
Zooplankton
Ctenophores
Sea Nettle
Other Suspension Feeders
Mya arenaria
Oysters
Other Polychaetes
Nereis
Macoma spp.
Meiofauna
Crustacean Deposit Feeder
Blue Crab
Fish Larvae
Alewife & Blue Herring
Bay Anchovy
Menhaden
Shad
Croaker
Hogchoker
Spot
White Perch
Catfish
Bluefish
Weakfish
Summer Flounder
Striped Bass
Dissolved Organic Carbon
Suspended Particulate Carbon
Sediment Partculate Carbon
 33 36  .1641279E+02
 34  5  .1820222E+06
 35  2  .3257030E+05
 35  7  .2193012E+05
 35  8  .4410102E+05
 35  9  .3405334E+04
 35 11  .2664946E+04
 35 12  .1457171E+04
 35 13  .2858202E+04
 35 22  .3161070E+03
 35 23  .1087901E+03
 35 36  .2886064E+06
 36  3  .6235944E+06
 36 19  .1417696E+04
 -1 -1  .0000000E+00
