ANNUAL NITROGEN Model Data, CHESAPEAKE BAY  mgC/m2/annmean                                       1
 36 33
PHYTOPLANKTON
BACTERIA IN SUSPENDED PON
BACTERIA IN SEDIMENT PON
BENTHIC DIATOMS
FREE BACTERIA
HETEROTROPHIC MICROFLAGELLATES
MICROZOOPLANKTON
ZOOPLANKTON
CTENOPHORES
SEANETTLE
OTHER SUSPENSION FEEDERS
MYA ARENARIA
OYSTERS
OTHER POLYCHAETES
NEREIS
MACOMA SPP
MEIOFAUNA
CRUSTACEAN DEPOSIT FEEDERS
BLUE CRAB
FISH LARVAE
ALEWIFE AND BLUE HERRING
BAY ANCHOVY
MENHADEN
SHAD
CROAKER
HOGCHOKER
SPOT
WHITE PERCH
CATFISH
BLUE FISH
WEAK FISH
SUMMER FLOUNDER
STRIPED BASS
DISSOLVED ORGANIC NITROGEN
SUSPENDED PARTICULATE ORGANIC NITROGEN
SEDIMENT PARTICULATE ORGANIC NITROGEN
 23 35  .4500000E+00
 23 36  .1771400E+02
 24 34  .6440000E+00
 24 36  .3680000E+00
 25 34  .1372100E+01
 25 36  .4570000E+00
 26 34  .1281100E+02
 26 36  .4394000E+01
 27 30  .2842900E+01
 27 34  .6539800E+02
 27 36  .2241200E+02
 28 34  .6462600E+02
 28 36  .7067000E+01
 29 34  .2714460E+02
 29 36  .1011880E+02
 30 34  .2760500E+01
 30 36  .6690000E+00
 31 32  .1295300E+01
 31 34  .1862980E+02
 31 36  .4359900E+01
 32 34  .5138500E+01
 32 36  .1681800E+01
 33 34  .4703500E+01
 33 36  .1479500E+01
 34  1  .5529893E+05
 34  4  .8059660E+04
 34  5  .2371240E+05
 35  2  .4165820E+04
 35  7  .2282600E+04
 35  8  .3024130E+04
 35  9  .1322166E+03
 35 11  .2820800E+03
 35 12  .1404400E+03
 35 13  .5828520E+03
 35 22  .4205540E+02
 35 23  .1545800E+02
 35 36  .4687495E+05
 36  3  .6571820E+05
 -1 -1  .0000000E+00

